State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.58940	3.56855	3.44694	3.32185	3.17243	3.06819	3.05082	2.95700	2.90140	2.91878	2.88056	2.85971	2.86666	2.91183	3.05429	2.99175	2.95352	2.95700	2.91530	2.93615	2.94658
2	1.47802	1.50794	1.47204	1.49598	1.47204	1.53587	1.52390	1.58972	1.66153	1.64956	1.61964	1.63361	1.62363	1.66353	1.60169	1.66751	1.68148	1.68347	1.66951	1.64358	1.70142
3	3.59334	3.55414	3.60205	3.53237	3.58899	3.60205	3.64125	3.63690	3.58463	3.38863	3.21005	3.13601	2.97921	2.84419	2.61770	2.51752	2.63076	2.60898	2.62641	2.75707	2.70045
4	0.40317	0.37730	0.36513	0.37578	0.35296	0.33014	0.33471	0.33166	0.34383	0.33775	0.34688	0.35296	0.37122	0.38187	0.41990	0.40773	0.40317	0.43664	0.46098	0.46707	0.47163
5	2.84922	2.86943	2.82901	2.76081	2.79618	2.85680	2.84669	2.87700	2.79618	2.71282	2.61684	2.53096	2.41224	2.29099	2.21774	2.18491	2.11923	2.08640	2.00304	1.92979	1.90453
6	2.05012	2.02395	2.01839	2.00113	2.01839	2.02507	2.06626	2.07461	2.09298	2.17703	2.30840	2.40025	2.48764	2.58561	2.67300	2.74202	2.77431	2.80938	2.84500	2.85669	2.82385
7	4.53950	4.59143	4.64262	4.71458	4.70345	4.67600	4.62852	4.58624	4.54914	4.45270	4.28355	4.14186	3.99348	3.81024	3.62329	3.45859	3.30800	3.13959	2.98157	2.83913	2.75308
8	1.02100	1.00377	1.00808	1.02100	1.03177	1.04685	1.03608	1.01023	1.01454	0.97577	0.92407	0.93915	0.96715	0.98438	0.97146	0.97792	0.98869	1.00377	1.00162	1.01454	1.02316
9	0.52587	0.52587	0.52635	0.52540	0.52566	0.52492	0.52376	0.52598	0.52783	0.53184	0.53955	0.54329	0.55031	0.55617	0.56441	0.57117	0.57914	0.58811	0.59851	0.60875	0.61794
10	1.09530	1.09384	1.09288	1.09433	1.09844	1.10279	1.10762	1.10690	1.10593	1.10690	1.09940	1.09795	1.09094	1.08877	1.08659	1.08563	1.08466	1.08007	1.07644	1.06992	1.06629
