State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.74460	5.78737	7.60916	10.75587	15.65689	22.09139	29.31104	35.89583	40.18039	41.02074	41.58506	42.67077	41.86109	39.83075	35.49099	27.78983	18.99989	12.20348	7.97719	5.35186	4.07600
2	3.67253	4.26584	5.11972	5.96479	6.40141	6.50528	5.66549	3.94366	2.60563	2.60915	2.50176	1.77993	1.72183	1.88556	2.14613	2.66549	3.24824	3.78697	3.73063	3.50704	3.20951
3	9.85714	10.18007	10.00707	8.99598	7.15834	5.00161	3.26393	2.41431	1.96835	1.72231	1.76460	1.92991	2.37971	3.84059	7.66196	14.92411	22.89747	28.25661	30.60172	30.90159	29.56757
4	0.93597	0.79497	0.68351	0.60026	0.56937	0.51968	0.46597	0.44851	0.41494	0.39211	0.36123	0.34780	0.33974	0.33303	0.35451	0.36928	0.42166	0.53446	0.77483	1.10785	1.49460
5	0.88734	0.77140	0.70675	0.65770	0.61980	0.62426	0.63094	0.62203	0.68891	0.71567	0.80707	0.84052	0.84275	0.83160	0.81376	0.78701	0.80262	0.86950	1.03448	1.18609	1.56287
6	1.15559	1.09073	1.01998	0.93597	0.84900	0.77137	0.71192	0.67311	0.65346	0.63773	0.61759	0.60432	0.62889	0.63970	0.66721	0.69424	0.75074	0.81756	0.92417	1.05339	1.17868
7	0.56576	0.53433	0.49897	0.48849	0.46688	0.44396	0.42825	0.42170	0.41973	0.43152	0.44855	0.47081	0.48456	0.50158	0.50224	0.51534	0.51992	0.51926	0.54022	0.58475	0.62796
8	0.77570	0.81373	0.85175	0.84605	0.84795	0.87837	0.88788	0.90119	0.93921	0.92971	0.94682	0.97914	0.98484	0.94301	0.87647	0.84035	0.79091	0.73198	0.69775	0.64642	0.63691
9	0.72322	0.70598	0.67570	0.63535	0.59038	0.53573	0.48816	0.45801	0.44082	0.43560	0.43006	0.42908	0.43225	0.43635	0.44156	0.45023	0.45918	0.46905	0.48024	0.49039	0.49524
10	1.31148	1.29570	1.27565	1.25367	1.22082	1.17581	1.12739	1.08430	1.05572	1.03950	1.03374	1.03481	1.04398	1.06211	1.09006	1.10840	1.13550	1.15384	1.17005	1.18435	1.19608
