State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.00060	42.22187	6.44260	1.43459	2.88086	41.58327	20.83190	0.31135
2	1.74308	2.23419	1.33423	1.00851	1.61981	2.50184	3.63283	0.68715
3	0.79824	1.56870	2.94254	2.21623	3.20603	1.76465	9.37518	0.22436
4	2.28529	0.28709	0.25996	2.25306	0.34691	0.36124	0.60111	0.17349
5	1.37646	0.83710	3.39511	2.27837	2.61711	0.80710	0.84085	0.20468
6	6.24603	0.85677	1.93325	2.01398	2.30864	0.61761	0.86208	0.37210
7	4.68655	0.68443	5.17010	2.23565	4.28252	0.44856	0.54841	0.30159
8	1.61411	2.43279	1.04282	0.67802	0.92417	0.94685	0.80713	0.90100
9	65.86365	0.40676	0.46781	0.71780	0.53960	0.43007	0.54238	1.15870
10	14.38599	0.80090	1.02960	1.06522	1.09952	1.03377	1.23926	1.12092
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
