State (Emission order)	H3k27me3	H2az	H3k09ac	H3k04me3	H3k04me2	H3k04me1	H3k79me2	H4k20me1	H3k36me3	H3k09me3
1	0.038552785489664045	0.7535435490351919	0.8839590152464405	0.9394722346233554	0.9847105819116175	0.6605810756515037	0.4228208721897142	0.06922660546470655	0.0070162740690544526	0.00419444907721579
2	0.025107697305865963	0.1873556895476121	0.2166782748891146	0.011683877370093007	0.22949495277415644	0.8525827567177985	0.020929059156902078	0.026270651452524864	0.021586150554025914	0.0073960320977823025
3	4.169565389622691E-4	0.007354722230308728	0.46504330792387816	0.4540411675303227	0.8512171504793891	0.9181980392529452	0.9651613345151022	0.5240653496778334	0.4106266571761401	0.004849339290846041
4	2.3622719655523957E-4	1.9979519677079728E-4	0.02470183073533329	4.8726623879559336E-5	0.011524927183463466	0.0675916056352673	0.7972489805071177	0.37790656823255636	0.07274441739307437	0.006116369980230028
5	1.7745822833275867E-5	3.2295006109933535E-4	0.047160448066652004	0.002408886025509952	0.02806262591129982	0.08957934652755074	0.8297745526086504	0.5197905918865546	0.8769549031462694	0.035873661601510586
6	4.010030843450558E-4	4.003555167113864E-4	0.014660495475734182	2.1691690501079284E-5	1.358727859363995E-4	0.0017580251920305005	0.0202266198999946	0.03630892035855145	0.06796962795452081	0.0010789719516607326
7	7.333038628315241E-5	1.568253704855472E-4	0.020200856399260708	9.602317874850116E-5	1.3810566043976992E-4	0.0023004440812486883	0.02426216583970893	0.050577268260627806	0.7535387337139393	0.013576770656071848
8	0.0032310743954917323	0.020422002808586796	0.0053187723311775605	0.01604356580013486	3.9694102067923924E-4	0.002925752284504756	0.00334373892750062	0.0034141708922069388	0.0523270703427849	0.49098004727284783
9	0.004271758557781032	0.006681827056187594	0.005381734303844273	2.1410048868396524E-6	2.1384608492162033E-5	4.543905336541909E-4	6.005286577312335E-6	5.428951401020701E-4	1.5990726515184236E-4	0.00422972346168286
10	0.19114740936034458	0.00469799337509895	0.00979948397327041	2.453946701257044E-5	1.648280574773172E-4	5.904673716026429E-4	1.1721361801682725E-5	0.015787905532760462	2.565906850386104E-5	0.0012113420647549091
